UserID,Age,Gender,SweetLike,MentholLike,PodsPerWeek,SubscribeIntent,FlavourFamilies,PurchaseChannel,SignupChannel,DeviceUsed,AvgSessionTimeMin,ReferralCount,ReorderRate,FeedbackSubmitted,SubscriptionTenure,FlavourExplorationRate,LastTopRatedFlavour,PrimaryFlavourNote,NicotineToleranceLevel,AvgPodsPerOrder,SleepHours,StressLevelScale,LastMood,IsWeekend,FlavorBuzzScore,LastMentionSpike,IsLimitedEdition,SocialMentions_30D,FlavourFamilyTrend,NicotineGoal,CountryRegCode,OverLimitWarning
11,41,Female,5,4,3,1,"Tobacco,Dessert",Retail,Instagram,Android,16.9,3,0.93,False,12,0.84,Rose Milk,Spicy,12.5,1,6.2,5.5,Energetic,True,0.1,False,True,53,Stable,Maintain,AE,False
12,20,Male,5,5,1,1,"Tobacco,Dessert",Online,Referral,Android,29.2,0,0.78,False,18,0.34,Strawberry Cream,Menthol,10.0,3,5.3,6.6,LowEnergy,False,0.16,True,False,49,Rising,Reduce,SG,False
13,39,Male,1,2,10,1,"Spice,Fruity,Dessert",Retail,Referral,iOS,20.3,3,0.41,True,21,0.27,Berry Blast,Menthol,50.0,3,7.4,5.8,Energetic,False,0.22,False,False,58,Stable,Maintain,PH,False
14,19,Male,5,3,5,1,"Fruity,Spice",Online,Instagram,Android,24.9,1,0.72,False,17,0.71,Mango Tango,Spicy,28.7,2,6.0,9.6,Happy,False,0.37,False,True,53,Declining,Maintain,PH,False
15,41,Male,1,5,1,1,"Spice,Tobacco,Fruity",Online,Instagram,Android,30.5,1,0.75,False,3,0.58,Lychee Ice,Menthol,10.0,5,7.0,3.1,LowEnergy,False,0.14,True,False,49,Declining,Quit,SG,False
16,47,Male,4,4,1,1,"Dessert,Fruity,Spice",Retail,Instagram,iOS,25.1,2,0.54,False,1,0.56,Spicy Guava,Nutty,10.0,1,4.0,5.6,LowEnergy,False,0.11,False,False,53,Stable,Reduce,IN,False
17,19,Male,3,3,2,1,"Menthol,Fruity",Online,TikTok,iOS,20.6,0,0.67,True,19,0.33,Berry Blast,Fruity,10.0,4,7.4,6.4,Happy,False,0.24,False,False,50,Stable,Quit,SG,False
18,38,Female,1,3,13,1,"Dessert,Menthol",Online,TikTok,Android,23.9,1,0.53,False,4,0.13,Mango Tango,Spicy,49.3,3,9.0,6.7,Anxious,False,0.2,False,False,39,Stable,Maintain,PH,False
19,50,Male,2,4,4,1,"Spice,Tobacco",Online,TikTok,Android,24.1,1,0.83,True,23,0.47,Custard Kunafa,Sweet,14.5,1,6.5,6.7,Energetic,True,0.23,False,True,53,Rising,Quit,US,False
20,29,Male,1,5,6,1,"Menthol,Beverage,Tobacco",Online,Instagram,iOS,21.3,0,0.65,True,16,0.2,Berry Blast,Menthol,31.8,2,6.2,6.4,LowEnergy,False,0.26,False,False,53,Stable,Reduce,IN,False
21,39,Male,5,1,8,1,"Beverage,Menthol",Retail,Website,Desktop,22.4,1,0.46,True,12,0.92,Pineapple Freeze,Fruity,46.8,3,5.9,6.3,Energetic,False,0.2,False,False,68,Stable,Reduce,SG,False
22,42,Male,4,4,13,0,Dessert,Online,Instagram,iOS,41.0,0,0.7,True,21,0.14,Mint Chill,Sweet,50.0,3,7.2,6.9,Energetic,True,0.23,False,True,44,Declining,Maintain,PH,False
23,44,Male,4,4,3,0,"Tobacco,Menthol",Online,Instagram,Android,30.6,0,0.76,True,21,0.49,Custard Kunafa,Sweet,16.9,6,6.1,7.2,Happy,False,0.64,True,False,46,Rising,Quit,PH,False
24,45,Female,1,4,1,1,Menthol,Online,TikTok,Desktop,22.0,1,0.63,False,13,0.15,Choco Hazelnut,Nutty,10.0,2,7.3,9.2,Happy,False,0.36,False,False,52,Rising,Quit,PH,False
25,33,Male,3,3,3,1,"Menthol,Spice",Online,TikTok,Android,32.0,1,0.67,False,17,0.19,Vanilla Swirl,Fruity,12.5,6,8.6,9.2,Happy,False,0.21,False,False,64,Stable,Maintain,US,False
26,32,Male,2,2,12,1,Spice,Online,Website,Android,21.7,1,0.59,True,8,0.69,Spicy Guava,Spicy,50.0,2,7.5,7.0,Energetic,False,0.37,False,False,45,Stable,Reduce,IN,True
27,20,Male,4,1,3,1,"Menthol,Dessert",Retail,Instagram,iOS,36.7,0,0.43,True,13,0.68,Choco Hazelnut,Fruity,10.0,2,6.3,5.8,LowEnergy,True,0.46,False,False,47,Rising,Maintain,SG,False
28,54,Female,5,5,5,1,"Menthol,Fruity,Tobacco",Online,TikTok,iOS,28.7,2,0.58,False,20,0.13,Spicy Guava,Fruity,15.5,6,5.2,5.9,LowEnergy,False,0.14,False,False,48,Stable,Reduce,IN,False
29,24,Female,5,5,11,1,Tobacco,Retail,TikTok,Desktop,23.9,0,0.68,False,5,0.1,Strawberry Cream,Sweet,50.0,1,6.0,4.5,Anxious,False,0.33,False,False,49,Rising,Quit,PH,False
30,38,Female,3,2,12,1,Fruity,Lounge,Instagram,Android,29.5,0,0.58,True,18,0.17,Pineapple Freeze,Nutty,50.0,1,6.3,7.9,Energetic,True,0.54,False,False,55,Stable,Maintain,US,False
31,26,Male,4,4,12,1,Tobacco,Retail,Website,Desktop,9.3,2,0.72,True,15,0.79,Vanilla Swirl,Nutty,50.0,1,4.9,6.4,Anxious,False,0.42,False,True,52,Stable,Reduce,US,False
32,35,Female,1,1,4,0,"Menthol,Spice",Online,Instagram,iOS,13.7,0,0.54,True,12,0.63,Vanilla Swirl,Fruity,18.7,5,7.8,7.2,Anxious,True,0.49,True,False,53,Rising,Maintain,PH,False
33,21,Male,5,5,13,0,Beverage,Online,Instagram,iOS,13.1,2,0.55,True,17,0.13,Lychee Ice,Fruity,49.8,3,7.2,7.0,Anxious,False,0.52,False,False,46,Stable,Reduce,IN,True
34,42,Male,3,5,4,0,Tobacco,Retail,Referral,iOS,26.4,0,0.72,True,15,0.54,Strawberry Cream,Menthol,17.7,1,5.2,5.5,Anxious,False,0.29,False,False,57,Rising,Quit,IN,False
35,31,Male,4,4,9,0,Tobacco,Online,Referral,Android,42.3,0,0.63,False,2,0.74,Spicy Guava,Sweet,39.7,5,4.4,5.3,Anxious,False,0.27,False,False,53,Stable,Maintain,US,False
36,26,Male,4,2,7,1,"Fruity,Spice",Retail,Referral,iOS,47.3,1,0.54,True,6,0.88,Vanilla Swirl,Spicy,29.2,3,7.4,5.8,Energetic,False,0.45,False,False,46,Rising,Maintain,AE,False
37,43,Female,4,1,4,0,Beverage,Retail,TikTok,Desktop,31.4,0,0.76,False,17,0.94,Berry Blast,Spicy,21.8,1,4.5,7.2,Happy,False,0.22,True,True,60,Declining,Reduce,US,False
38,19,Female,4,2,3,0,"Spice,Dessert",Lounge,Instagram,Android,30.0,1,0.5,True,16,0.39,Strawberry Cream,Nutty,13.1,2,6.6,6.4,Anxious,True,0.33,False,False,55,Rising,Reduce,US,False
39,37,Male,4,2,6,0,Fruity,Lounge,Website,Desktop,7.0,1,0.49,False,17,0.22,Tobacco Twist,Sweet,28.9,4,6.0,3.9,LowEnergy,False,0.41,False,False,61,Stable,Maintain,SG,False
40,45,Female,5,1,3,0,"Menthol,Fruity",Retail,TikTok,iOS,19.6,0,0.18,False,20,0.31,Citrus Pop,Nutty,17.1,1,7.5,5.0,Energetic,True,0.29,False,True,47,Stable,Maintain,US,False
41,24,Other,3,1,6,1,Spice,Online,Instagram,Desktop,17.1,1,0.52,False,9,0.8,Lychee Ice,Spicy,33.6,4,7.5,6.1,Anxious,True,0.14,False,False,48,Rising,Maintain,AE,False
42,25,Female,4,5,11,1,"Beverage,Tobacco",Lounge,TikTok,Android,18.8,2,0.8,False,5,0.97,Blueberry Muffin,Fruity,50.0,1,5.5,6.5,LowEnergy,False,0.16,True,False,54,Rising,Maintain,US,False
43,52,Female,2,5,13,1,Beverage,Online,Instagram,Android,23.3,1,0.29,False,23,0.52,Spicy Guava,Sweet,49.5,2,7.6,7.3,Anxious,False,0.42,False,False,53,Rising,Reduce,IN,True
44,31,Female,2,1,11,0,"Beverage,Menthol",Online,Referral,Desktop,20.3,1,0.46,False,1,0.37,Strawberry Cream,Sweet,34.2,4,6.2,6.6,Happy,False,0.35,False,False,37,Rising,Maintain,SG,False
45,34,Other,3,3,13,0,"Fruity,Spice,Menthol",Retail,Instagram,Android,5.2,1,0.67,False,6,0.49,Peach Punch,Menthol,49.2,5,6.5,6.0,Energetic,True,0.29,False,True,39,Stable,Reduce,SG,False
46,53,Female,1,5,13,0,"Tobacco,Beverage,Spice",Retail,Website,Android,32.5,1,0.26,False,24,0.37,Choco Hazelnut,Fruity,49.9,2,6.5,5.9,Happy,False,0.2,False,False,43,Stable,Maintain,US,False
47,21,Male,1,3,12,1,"Dessert,Tobacco",Retail,TikTok,iOS,14.3,1,0.52,False,14,0.33,Choco Hazelnut,Fruity,50.0,4,9.0,6.8,LowEnergy,False,0.23,False,False,60,Rising,Maintain,SG,False
48,19,Male,1,1,9,0,"Beverage,Tobacco",Retail,TikTok,iOS,27.4,0,0.77,False,17,0.63,Vanilla Swirl,Nutty,44.5,4,6.4,7.1,Anxious,True,0.35,True,False,53,Stable,Maintain,SG,False
49,23,Female,2,5,6,1,"Dessert,Menthol,Beverage",Online,TikTok,Desktop,45.7,2,0.91,False,19,0.11,Peach Punch,Sweet,19.5,6,4.5,6.0,Happy,False,0.32,False,False,55,Declining,Reduce,US,False
50,21,Male,1,2,12,0,"Menthol,Fruity",Lounge,Instagram,Android,15.8,1,0.64,False,1,0.33,Pineapple Freeze,Nutty,40.9,6,5.6,4.9,Happy,True,0.39,False,False,48,Declining,Maintain,AE,True
51,46,Female,5,1,4,1,Tobacco,Retail,Referral,Android,5.0,1,0.46,True,1,0.7,Spicy Guava,Fruity,13.9,2,7.4,6.4,Anxious,False,0.17,True,False,53,Rising,Quit,US,False
52,35,Male,4,4,5,0,"Fruity,Spice,Dessert",Retail,Website,Android,22.1,0,0.46,True,13,0.13,Tobacco Twist,Menthol,24.5,2,6.2,5.5,Energetic,False,0.2,False,False,32,Rising,Maintain,IN,False
53,43,Male,2,3,13,0,"Tobacco,Dessert",Online,Referral,iOS,36.0,1,0.62,False,14,0.17,Tobacco Twist,Sweet,50.0,2,6.5,6.9,LowEnergy,False,0.08,True,True,47,Stable,Maintain,PH,False
54,51,Male,3,1,6,1,Fruity,Online,Referral,iOS,44.6,1,0.64,True,6,0.36,Citrus Pop,Fruity,33.5,3,6.0,8.7,Energetic,True,0.57,False,False,51,Rising,Maintain,AE,False
55,27,Male,3,1,11,0,Menthol,Retail,TikTok,Android,12.7,0,0.88,False,6,0.89,Berry Blast,Menthol,50.0,5,4.0,4.5,LowEnergy,True,0.27,False,True,45,Rising,Maintain,US,False
56,53,Female,4,5,3,0,Fruity,Online,Referral,Android,30.0,1,0.75,True,1,0.79,Citrus Pop,Spicy,10.8,1,5.6,8.2,LowEnergy,True,0.07,False,False,54,Rising,Quit,AE,False
57,31,Female,2,5,8,1,"Tobacco,Dessert",Online,Instagram,iOS,20.3,0,0.61,False,14,0.12,Mint Chill,Fruity,31.4,6,6.4,7.2,Happy,True,0.06,False,True,51,Rising,Quit,PH,False
58,48,Female,1,5,4,1,Spice,Retail,Instagram,Android,23.9,2,0.55,False,3,0.55,Pineapple Freeze,Spicy,14.9,4,4.4,8.2,Anxious,True,0.19,False,True,43,Stable,Maintain,SG,False
59,32,Female,1,4,8,1,Beverage,Online,Instagram,iOS,51.4,0,1.0,False,23,0.35,Choco Hazelnut,Nutty,32.6,6,5.1,5.8,Energetic,False,0.02,False,False,58,Stable,Reduce,SG,False
60,25,Male,5,5,10,0,Beverage,Online,TikTok,Android,10.0,0,0.69,False,10,0.68,Tobacco Twist,Spicy,50.0,1,6.1,4.3,Happy,True,0.65,False,False,40,Rising,Reduce,PH,False
61,31,Male,5,1,10,0,"Menthol,Fruity",Online,TikTok,iOS,27.5,0,0.5,False,19,0.75,Peach Punch,Fruity,47.3,2,6.1,6.8,Happy,False,0.11,False,False,49,Stable,Quit,SG,False
62,40,Female,1,5,3,0,"Dessert,Fruity",Online,Instagram,Android,29.7,0,0.57,False,19,0.88,Vanilla Swirl,Spicy,15.6,6,7.0,8.6,Happy,False,0.42,False,False,46,Stable,Maintain,AE,False
63,38,Male,3,2,10,0,Menthol,Retail,Referral,iOS,35.9,1,0.47,False,19,0.53,Tobacco Twist,Sweet,44.7,5,6.2,4.9,Energetic,True,0.28,False,False,47,Stable,Maintain,SG,False
64,33,Male,3,5,7,1,Menthol,Online,TikTok,Android,26.0,0,0.24,True,23,1.0,Tobacco Twist,Fruity,21.6,5,6.9,5.1,Happy,False,0.33,False,False,57,Declining,Reduce,PH,False
65,35,Male,5,4,11,1,Dessert,Online,Instagram,iOS,28.1,0,0.65,False,4,0.98,Mango Tango,Menthol,35.1,3,5.7,7.4,Anxious,True,0.12,False,False,57,Declining,Maintain,PH,False
66,41,Male,4,2,13,0,"Menthol,Dessert,Beverage",Retail,TikTok,iOS,21.1,1,0.87,False,20,0.89,Choco Hazelnut,Spicy,50.0,6,6.8,5.7,Happy,False,0.49,False,False,40,Stable,Reduce,PH,False
67,43,Other,1,1,12,1,"Spice,Dessert",Lounge,Instagram,iOS,27.7,0,0.36,False,19,0.62,Peach Punch,Sweet,50.0,2,8.3,9.0,Happy,False,0.15,False,False,56,Declining,Quit,IN,True
68,42,Female,5,1,9,0,"Tobacco,Dessert",Retail,Referral,Android,21.6,1,0.61,False,10,0.46,Mint Chill,Nutty,32.8,4,6.8,7.5,LowEnergy,True,0.52,False,False,42,Rising,Maintain,AE,False
69,46,Male,5,3,4,1,Fruity,Online,Instagram,Android,31.2,2,0.49,False,2,0.43,Peach Punch,Nutty,20.7,3,6.2,5.4,Happy,False,0.5,False,False,65,Stable,Quit,PH,False
70,32,Female,1,2,8,0,"Fruity,Menthol",Online,Referral,iOS,21.3,0,0.68,True,4,0.11,Citrus Pop,Spicy,43.5,2,5.4,5.7,Energetic,True,0.27,False,True,54,Stable,Quit,AE,True
71,18,Female,1,3,3,0,"Menthol,Beverage",Retail,Website,Android,28.8,1,0.57,True,24,0.32,Mint Chill,Nutty,12.7,3,6.6,5.7,Energetic,False,0.33,False,False,56,Stable,Quit,IN,False
72,42,Male,3,2,7,1,Dessert,Online,Instagram,Desktop,24.7,3,0.4,False,6,0.75,Mango Tango,Menthol,36.7,6,6.2,6.4,Anxious,False,0.48,False,False,43,Rising,Reduce,AE,True
73,24,Female,4,2,3,1,Dessert,Retail,Instagram,Android,36.3,1,0.45,False,7,0.64,Berry Blast,Fruity,12.6,1,7.2,7.0,Energetic,True,0.28,False,False,50,Rising,Reduce,US,False
74,26,Female,4,4,12,1,Spice,Online,Referral,iOS,24.5,1,0.48,False,16,0.92,Pineapple Freeze,Sweet,50.0,6,4.3,6.8,Energetic,False,0.2,False,True,56,Rising,Maintain,IN,True
75,41,Male,1,3,7,0,"Spice,Dessert,Tobacco",Online,Website,Android,7.3,1,0.8,True,7,0.15,Mint Chill,Spicy,37.0,2,6.3,4.8,Happy,True,0.18,False,False,57,Stable,Quit,IN,True
76,18,Male,2,4,14,0,"Tobacco,Spice,Fruity",Retail,Website,iOS,37.6,0,0.79,False,18,0.24,Tobacco Twist,Nutty,50.0,4,7.0,7.9,Anxious,True,0.4,False,False,53,Declining,Maintain,SG,False
77,25,Male,5,2,11,1,"Spice,Beverage",Retail,Website,iOS,15.9,1,0.55,False,20,0.81,Lychee Ice,Fruity,44.4,4,6.7,6.1,Energetic,True,0.02,True,False,42,Rising,Maintain,PH,False
78,41,Male,5,1,10,0,"Fruity,Tobacco",Retail,Instagram,Desktop,18.5,4,0.78,False,22,0.42,Custard Kunafa,Menthol,42.3,2,6.1,5.1,Anxious,False,0.12,False,False,53,Declining,Maintain,IN,True
79,28,Male,1,2,10,1,Tobacco,Online,TikTok,iOS,19.0,1,0.57,True,19,0.21,Spicy Guava,Nutty,35.0,3,6.1,5.8,Anxious,False,0.1,False,False,45,Rising,Reduce,AE,False
80,34,Female,2,4,11,0,"Dessert,Tobacco",Online,Instagram,Android,38.7,1,0.55,True,9,1.0,Mint Chill,Nutty,39.7,5,5.2,8.0,LowEnergy,False,0.45,False,False,44,Declining,Maintain,US,False
81,25,Male,3,3,11,1,"Fruity,Beverage",Retail,Referral,Android,5.0,1,0.61,True,20,0.81,Peach Punch,Sweet,50.0,2,7.0,6.8,LowEnergy,False,0.24,False,False,48,Declining,Reduce,AE,True
82,52,Male,1,3,6,1,Spice,Retail,Website,Android,56.4,0,0.64,True,10,0.47,Peach Punch,Menthol,34.5,6,7.0,6.9,Happy,True,0.13,False,False,45,Rising,Reduce,AE,False
83,52,Female,1,4,2,0,"Menthol,Beverage,Dessert",Online,TikTok,Android,35.6,2,0.52,True,13,0.84,Peach Punch,Menthol,10.0,4,4.8,4.7,Energetic,False,0.34,False,True,45,Rising,Maintain,US,False
84,50,Female,5,3,11,1,Tobacco,Online,Instagram,iOS,27.2,3,0.6,True,18,0.71,Pineapple Freeze,Spicy,38.9,1,7.4,6.7,Happy,False,0.2,False,False,42,Rising,Maintain,SG,False
85,22,Male,1,5,3,1,Menthol,Online,TikTok,iOS,24.5,1,0.72,False,16,0.81,Peach Punch,Sweet,11.6,4,5.7,8.0,Happy,False,0.44,False,True,50,Declining,Maintain,PH,False
86,45,Male,1,1,6,0,"Spice,Tobacco",Lounge,TikTok,Android,27.9,1,0.62,False,22,0.83,Spicy Guava,Spicy,26.2,5,6.0,3.8,Anxious,False,0.14,False,False,49,Stable,Maintain,IN,False
87,24,Male,1,1,14,1,"Tobacco,Spice",Retail,Website,iOS,30.2,2,0.61,False,17,0.18,Pineapple Freeze,Sweet,50.0,4,8.7,5.9,Anxious,False,0.1,False,True,53,Stable,Maintain,PH,False
88,26,Female,5,1,4,1,"Menthol,Tobacco",Lounge,Website,iOS,31.5,0,0.67,True,22,0.66,Mango Tango,Menthol,14.8,5,8.4,7.4,Anxious,True,0.33,False,True,47,Rising,Maintain,SG,False
89,25,Male,3,3,6,0,Tobacco,Online,Referral,iOS,30.6,1,0.7,False,13,0.11,Mint Chill,Sweet,31.2,2,4.8,6.7,Happy,True,0.23,True,False,43,Declining,Quit,US,False
90,29,Male,3,3,1,0,"Menthol,Fruity,Spice",Lounge,TikTok,iOS,25.9,1,0.59,False,12,0.14,Strawberry Cream,Sweet,10.0,4,5.0,5.0,Energetic,False,0.06,False,False,47,Rising,Reduce,PH,False
91,51,Other,1,2,10,0,"Beverage,Dessert",Online,Instagram,iOS,23.0,0,0.53,True,10,0.91,Mint Chill,Sweet,46.2,3,5.2,7.1,Happy,False,0.33,True,False,49,Rising,Reduce,AE,True
92,50,Male,5,2,12,1,"Fruity,Menthol",Online,Website,iOS,23.5,3,0.63,False,1,0.57,Rose Milk,Fruity,50.0,6,8.4,4.7,Happy,False,0.16,False,True,64,Rising,Maintain,IN,True
93,40,Female,3,1,1,1,"Tobacco,Spice,Menthol",Retail,Website,Android,23.1,2,0.36,True,8,0.76,Tobacco Twist,Fruity,10.0,3,5.8,5.2,Happy,False,0.23,True,False,53,Stable,Maintain,IN,False
94,41,Other,3,5,3,1,"Menthol,Dessert",Online,TikTok,Android,36.3,2,0.57,False,21,0.85,Pineapple Freeze,Menthol,14.4,6,4.7,5.4,LowEnergy,True,0.48,False,False,41,Rising,Reduce,SG,False
95,54,Male,3,2,8,1,Dessert,Online,Website,Desktop,30.9,0,0.23,False,22,0.95,Vanilla Swirl,Sweet,40.1,4,8.0,8.8,LowEnergy,False,0.35,False,False,52,Stable,Reduce,SG,False
96,52,Female,5,2,8,1,"Spice,Dessert",Online,TikTok,iOS,5.0,1,0.35,False,18,0.88,Spicy Guava,Menthol,39.7,4,7.2,4.0,Energetic,False,0.24,False,False,58,Rising,Maintain,US,False
97,39,Male,5,3,11,1,Spice,Online,TikTok,iOS,31.6,1,0.33,False,2,0.53,Blueberry Muffin,Fruity,47.7,6,9.0,4.1,LowEnergy,False,0.39,False,False,44,Stable,Maintain,SG,False
98,44,Female,1,5,4,0,Spice,Retail,TikTok,iOS,26.9,2,0.76,False,16,0.4,Berry Blast,Sweet,16.2,1,7.2,6.9,Happy,False,0.23,False,False,51,Stable,Quit,PH,False
99,52,Female,4,1,6,1,"Spice,Tobacco",Retail,Instagram,Android,24.8,0,0.6,False,12,0.24,Rose Milk,Spicy,33.0,4,6.5,6.7,LowEnergy,False,0.07,True,False,52,Rising,Maintain,IN,False
100,18,Female,3,2,8,0,"Spice,Tobacco,Dessert",Retail,Instagram,Android,21.1,0,0.41,False,9,0.46,Tobacco Twist,Fruity,42.2,1,6.8,5.8,LowEnergy,False,0.19,False,False,53,Rising,Maintain,US,False
101,52,Male,4,5,7,1,Tobacco,Retail,Instagram,iOS,36.2,2,0.67,True,3,0.43,Peach Punch,Fruity,27.7,1,6.0,6.5,Happy,False,0.34,False,True,52,Stable,Maintain,SG,False
102,54,Female,5,5,11,0,"Fruity,Dessert",Retail,Website,Desktop,34.5,1,0.75,True,22,0.6,Mango Tango,Fruity,36.4,6,8.1,4.9,Energetic,False,0.13,False,False,50,Rising,Reduce,AE,True
103,31,Female,5,1,7,0,Tobacco,Online,TikTok,iOS,17.3,2,0.68,False,21,0.7,Spicy Guava,Sweet,22.5,1,8.1,6.6,LowEnergy,True,0.65,False,False,49,Rising,Reduce,IN,False
104,20,Male,5,5,13,0,"Beverage,Dessert",Online,TikTok,Android,29.1,1,0.57,False,4,0.98,Citrus Pop,Nutty,42.7,1,4.6,6.8,Happy,False,0.25,False,False,42,Stable,Maintain,US,False
105,18,Female,4,5,4,0,"Dessert,Spice",Lounge,Referral,Android,15.3,0,0.63,False,2,0.76,Mango Tango,Spicy,19.0,2,7.6,8.3,Happy,True,0.06,False,False,54,Rising,Maintain,IN,False
106,22,Male,5,5,9,1,"Tobacco,Menthol",Online,Instagram,Desktop,11.2,0,0.74,True,8,0.68,Strawberry Cream,Spicy,28.4,3,5.2,9.4,Happy,False,0.3,False,False,36,Stable,Maintain,PH,False
107,43,Male,1,2,12,0,Fruity,Retail,TikTok,Android,18.7,0,0.53,False,10,0.4,Vanilla Swirl,Menthol,48.1,1,9.0,6.1,Anxious,True,0.47,False,False,53,Rising,Maintain,SG,False
108,31,Male,5,1,10,1,"Tobacco,Dessert",Online,Website,Desktop,33.6,1,0.6,True,16,0.13,Blueberry Muffin,Sweet,50.0,3,8.3,4.6,Happy,False,0.5,False,False,52,Rising,Maintain,SG,False
109,44,Male,2,5,6,1,"Spice,Tobacco,Beverage",Retail,Instagram,iOS,34.5,1,0.56,False,23,0.36,Spicy Guava,Fruity,23.3,1,5.1,7.1,LowEnergy,False,0.54,False,False,44,Stable,Maintain,SG,False
110,26,Male,4,5,14,1,"Fruity,Tobacco",Retail,Instagram,Desktop,30.1,0,0.36,False,11,0.79,Blueberry Muffin,Nutty,50.0,3,6.8,6.3,LowEnergy,True,0.28,False,False,50,Rising,Maintain,AE,True
111,32,Female,2,2,12,0,"Tobacco,Dessert",Online,Instagram,iOS,32.3,2,0.74,False,18,0.28,Peach Punch,Sweet,50.0,4,7.7,6.2,Happy,True,0.12,False,False,51,Rising,Reduce,PH,False
112,32,Male,5,1,11,0,"Dessert,Spice,Tobacco",Online,Instagram,Desktop,30.2,2,0.91,True,22,0.74,Mango Tango,Sweet,41.1,4,5.8,4.1,Anxious,False,0.28,False,False,52,Stable,Reduce,AE,True
113,43,Female,1,3,3,1,Dessert,Retail,Referral,Android,18.6,1,0.47,False,14,0.62,Rose Milk,Nutty,15.6,3,4.9,6.6,Anxious,False,0.15,False,False,51,Rising,Quit,PH,False
114,30,Male,3,2,5,1,"Menthol,Tobacco",Online,Referral,Desktop,29.3,0,0.74,False,8,0.25,Mango Tango,Fruity,26.2,1,6.6,7.1,Anxious,True,0.09,False,False,56,Stable,Reduce,PH,False
115,49,Female,5,1,5,0,"Dessert,Beverage,Tobacco",Online,Website,Android,33.0,1,0.47,False,23,0.34,Peach Punch,Sweet,21.0,2,6.3,8.0,LowEnergy,True,0.13,False,False,53,Declining,Quit,PH,False
116,49,Other,1,5,14,0,Fruity,Retail,Referral,Android,32.5,2,0.62,False,15,0.55,Vanilla Swirl,Spicy,50.0,3,5.4,5.7,Anxious,False,0.39,True,False,54,Stable,Quit,SG,False
117,21,Male,4,1,5,0,"Tobacco,Spice",Online,Referral,Android,36.9,1,0.83,False,17,0.48,Vanilla Swirl,Spicy,22.8,5,8.0,5.3,Energetic,False,0.17,False,False,47,Rising,Maintain,SG,False
118,47,Female,2,1,8,1,Spice,Retail,Instagram,Android,32.1,1,0.52,False,21,0.8,Custard Kunafa,Nutty,46.1,2,5.0,5.7,Energetic,True,0.2,False,True,58,Stable,Maintain,SG,False
119,54,Male,2,1,9,0,"Spice,Menthol",Online,Referral,iOS,28.5,3,0.6,False,18,0.76,Lychee Ice,Fruity,44.3,5,6.4,7.9,Anxious,False,0.38,True,False,48,Rising,Reduce,AE,True
